,Block,Creation Time,Txn,Fee Recipient,Gas Used,Gas Limit
0,21136702,,165,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15751940,30000000
1,21136701,-12.0,107,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,7696457,30000000
2,21136700,-12.0,241,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20035492,30000000
3,21136699,-12.0,271,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,21745171,30000000
4,21136698,-12.0,123,0x4008Ed96594b645f057c9998a2924545fAbB6545,7629631,30000000
5,21136697,-12.0,180,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12496663,30000000
6,21136696,-12.0,238,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18727255,30000000
7,21136695,-12.0,198,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14982520,30000000
8,21136694,-12.0,166,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10663379,30000000
9,21136693,-12.0,196,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13221676,30000000
10,21136692,-12.0,165,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11996163,30000000
11,21136691,-12.0,179,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12674495,30000000
12,21136690,-12.0,173,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13418121,30000000
13,21136689,-12.0,162,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12029815,30000000
14,21136688,-12.0,206,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,22657027,30000000
15,21136687,-12.0,245,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18091504,30000000
16,21136686,-12.0,115,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10388487,30000000
17,21136685,-12.0,140,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10138253,30000000
18,21136684,-12.0,182,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13337970,30000000
19,21136683,-12.0,318,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,22301170,30000000
20,21136682,-12.0,142,0x93F6bE2801dc75244252de16aB6fD5139d9BD76e,8171013,30000000
21,21136681,-12.0,142,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,10691233,30000000
22,21136680,-12.0,193,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14991831,30000000
23,21136679,-12.0,157,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12703893,30000000
24,21136678,-12.0,223,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18045108,30000000
25,21136677,-12.0,151,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13863848,30000000
26,21136676,-12.0,132,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12901298,30000000
27,21136675,-12.0,190,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16232114,30000000
28,21136674,-12.0,136,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11667122,30000000
29,21136673,-12.0,154,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17816007,30000000
30,21136672,-12.0,137,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15117797,30000000
31,21136671,-12.0,209,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,25729034,30000000
32,21136670,-12.0,152,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,21149528,30000000
33,21136669,-12.0,162,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13185860,30000000
34,21136668,-12.0,230,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,19745955,30000000
35,21136667,-12.0,155,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13540507,30000000
36,21136666,-12.0,142,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11396584,30000000
37,21136665,-12.0,195,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,19317951,30000000
38,21136664,-12.0,203,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15294597,30000000
39,21136663,-12.0,203,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14194811,30000000
40,21136662,-12.0,165,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15420371,30000000
41,21136661,-12.0,190,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14251825,30000000
42,21136660,-12.0,163,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13571274,30000000
43,21136659,-12.0,244,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,23953890,30000000
44,21136658,-12.0,188,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13876893,30000000
45,21136657,-12.0,211,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17764974,30000000
46,21136656,-12.0,153,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11404897,30000000
47,21136655,-12.0,163,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11835772,30000000
48,21136654,-12.0,133,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13014178,30000000
49,21136653,-12.0,217,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20945534,30000000
50,21136652,-12.0,161,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11437283,30000000
51,21136651,-12.0,134,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12378912,30000000
52,21136650,-12.0,171,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16012783,30000000
53,21136649,-12.0,192,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17283291,30000000
54,21136648,-12.0,215,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13217757,30000000
55,21136647,-12.0,192,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13982820,30000000
56,21136646,-12.0,134,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14737688,30000000
57,21136645,-12.0,198,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17543109,30000000
58,21136644,-12.0,207,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17485769,30000000
59,21136643,-12.0,120,0x758A4A45dd08D826FC3f2436ce3FA263fB1A4F42,6841946,30000000
60,21136642,-12.0,149,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,22357339,30000000
61,21136641,-12.0,150,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12169874,30000000
62,21136640,-12.0,191,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16268664,30000000
63,21136639,-12.0,127,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14443684,30000000
64,21136638,-12.0,203,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16395511,30000000
65,21136637,-12.0,219,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20549617,30000000
66,21136636,-12.0,178,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13790421,30000000
67,21136635,-12.0,169,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11679134,30000000
68,21136634,-12.0,313,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,23536125,30000000
69,21136633,-12.0,423,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,29958637,30000000
70,21136632,-12.0,38,0xD698ad66c8D8BdE28061DC90e6D3a19CCfb9a0D8,3569991,30000000
71,21136631,-12.0,291,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,18835751,30000000
72,21136630,-12.0,254,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,19228122,30000000
73,21136629,-12.0,143,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11415640,30000000
74,21136628,-12.0,230,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16381815,30000000
75,21136627,-12.0,219,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17205371,30000000
76,21136626,-12.0,136,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,10532434,30000000
77,21136625,-12.0,171,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15408108,30000000
78,21136624,-12.0,225,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,16478139,30000000
79,21136623,-12.0,150,0x388C818CA8B9251b393131C08a736A67ccB19297,8560606,30000000
80,21136622,-12.0,159,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13112165,30000000
81,21136621,-12.0,171,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15547301,30000000
82,21136620,-12.0,147,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12942513,30000000
83,21136619,-12.0,118,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,9504106,30000000
84,21136618,-12.0,259,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,25213682,30000000
85,21136617,-12.0,141,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,12239174,30000000
86,21136616,-12.0,157,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13190867,30000000
87,21136615,-12.0,176,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16055994,30000000
88,21136614,-12.0,183,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15379462,30000000
89,21136613,-12.0,142,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12554877,30000000
90,21136612,-12.0,232,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,19502147,30000000
91,21136611,-12.0,140,0xdf99A0839818B3f120EBAC9B73f82B617Dc6A555,10368678,30000000
92,21136610,-12.0,197,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18036033,30000000
93,21136609,-12.0,133,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,8544101,30000000
94,21136608,-12.0,349,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,24147285,30000000
95,21136607,-12.0,235,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20958815,30000000
96,21136606,-12.0,110,0xd4E96eF8eee8678dBFf4d535E033Ed1a4F7605b7,5637902,30000000
97,21136605,-12.0,185,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18331319,30000000
98,21136604,-12.0,156,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11452122,30000000
99,21136603,-12.0,212,0xdf99A0839818B3f120EBAC9B73f82B617Dc6A555,14061858,30000000
100,21136602,-12.0,156,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13784257,30000000
101,21136601,-12.0,160,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12069590,30000000
102,21136600,-12.0,171,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13402667,30000000
103,21136599,-12.0,135,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,16880878,30000000
104,21136598,-12.0,192,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15689376,30000000
105,21136597,-12.0,169,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13784135,30000000
106,21136596,-12.0,172,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13984520,30000000
107,21136595,-12.0,148,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12319899,30000000
108,21136594,-12.0,170,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12968760,30000000
109,21136593,-12.0,259,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18811460,30000000
110,21136592,-12.0,208,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,16452665,30000000
111,21136591,-12.0,158,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12062396,30000000
112,21136590,-12.0,156,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12158292,30000000
113,21136589,-12.0,204,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16350755,30000000
114,21136588,-12.0,241,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14604606,30000000
115,21136587,-12.0,205,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15183519,30000000
116,21136586,-12.0,257,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13824763,30000000
117,21136585,-12.0,167,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12637805,30000000
118,21136584,-12.0,181,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17549716,30000000
119,21136583,-12.0,200,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,12693577,30000000
120,21136582,-12.0,218,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17567839,30000000
121,21136581,-12.0,121,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,10862042,30000000
122,21136580,-12.0,183,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15852763,30000000
123,21136579,-12.0,155,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12360958,30000000
124,21136578,-12.0,322,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,29991692,30000000
125,21136577,-12.0,223,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,13817143,30000000
126,21136576,-12.0,182,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15405018,30000000
127,21136575,-12.0,137,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10073374,30000000
128,21136574,-12.0,151,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11977108,30000000
129,21136573,-12.0,206,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18170925,30000000
130,21136572,-12.0,171,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14011529,30000000
131,21136571,-12.0,169,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13237425,30000000
132,21136570,-12.0,162,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12071970,30000000
133,21136569,-12.0,188,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13454486,30000000
134,21136568,-12.0,148,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12589818,30000000
135,21136567,-12.0,206,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20661693,30000000
136,21136566,-12.0,163,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14215279,30000000
137,21136565,-12.0,252,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18457450,30000000
138,21136564,-12.0,157,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13510189,30000000
139,21136563,-12.0,175,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14331342,30000000
140,21136562,-12.0,155,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14208361,30000000
141,21136561,-12.0,182,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16013007,30000000
142,21136560,-12.0,181,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15210384,30000000
143,21136559,-12.0,182,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12587085,30000000
144,21136558,-12.0,235,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17837703,30000000
145,21136557,-12.0,140,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10199648,30000000
146,21136556,-12.0,183,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16770768,30000000
147,21136555,-12.0,167,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12580523,30000000
148,21136554,-12.0,163,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13231572,30000000
149,21136553,-12.0,174,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14593311,30000000
150,21136552,-12.0,191,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16956590,30000000
151,21136551,-12.0,155,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11616572,30000000
152,21136550,-12.0,279,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,22497726,30000000
153,21136549,-12.0,145,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11863529,30000000
154,21136548,-12.0,134,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14257838,30000000
155,21136547,-12.0,221,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20524165,30000000
156,21136546,-12.0,271,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,24426864,30000000
157,21136545,-12.0,239,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18789884,30000000
158,21136544,-12.0,93,0x655fA8459044a0aAAb594CC05577497750c53Dc5,4819901,30000000
159,21136543,-12.0,207,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16463898,30000000
160,21136542,-12.0,150,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12572215,30000000
161,21136541,-12.0,154,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13742741,30000000
162,21136540,-12.0,291,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,24769929,30000000
163,21136539,-12.0,137,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,8110381,30000000
164,21136538,-12.0,153,0x2bf916f8169Ed2a77324d3E168284FC252aE4087,14615748,30000000
165,21136537,-12.0,193,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14610449,30000000
166,21136536,-12.0,196,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15291631,30000000
167,21136535,-12.0,170,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15000006,30000000
168,21136534,-12.0,138,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12496969,30000000
169,21136533,-12.0,187,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,20841476,30000000
170,21136532,-12.0,240,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17308438,30000000
171,21136531,-12.0,143,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11737968,30000000
172,21136530,-12.0,165,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15892190,30000000
173,21136529,-12.0,194,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17521596,30000000
174,21136528,-12.0,165,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14528600,30000000
175,21136527,-12.0,195,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15868410,30000000
176,21136526,-12.0,165,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,16328100,30000000
177,21136525,-12.0,240,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16789524,30000000
178,21136524,-12.0,221,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,21450214,30000000
179,21136523,-12.0,87,0xB9Ac41519b3C748eB753Db9c9CdD011e3Eb8dc90,5005116,30000000
180,21136522,-12.0,206,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14882470,30000000
181,21136521,-12.0,155,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14229294,30000000
182,21136520,-12.0,168,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12501172,30000000
183,21136519,-12.0,161,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13572766,30000000
184,21136518,-12.0,235,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20289015,30000000
185,21136517,-12.0,104,0x388C818CA8B9251b393131C08a736A67ccB19297,6537860,30000000
186,21136516,-12.0,188,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13273515,30000000
187,21136515,-12.0,186,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14385405,30000000
188,21136514,-12.0,136,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11526772,30000000
189,21136513,-12.0,191,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14110352,30000000
190,21136512,-12.0,210,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15075148,30000000
191,21136511,-12.0,138,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10093050,30000000
192,21136510,-12.0,264,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,25851147,30000000
193,21136509,-12.0,76,0x65B9A85ED5d4168FFE4Cd0ff660fECa9aD062Abf,3809461,30000000
194,21136508,-12.0,185,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,22000083,30000000
195,21136507,-12.0,74,0x47D55847bFABA8DC5c2954257378F621A9154cE4,6254431,30000000
196,21136506,-12.0,141,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13220121,30000000
197,21136505,-12.0,280,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,24541991,30000000
198,21136504,-12.0,193,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17664293,30000000
199,21136503,-12.0,139,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,10588331,30000000
